song_title,emotion,file_path
Gallan_Goodiyaan__Full_Song_with_LYRICS___Dil_Dhadakne_Do___T-Series(256k),"happy,irritate,fine,ok,joy,greate,fun,excited,smile,good,trending,new","_Gallan_Goodiyaan__Full_Song_with_LYRICS___Dil_Dhadakne_Do___T-Series(256k).mp3"
Subhanallah___Full_Video_Song___Yeh_Jawaani_Hai_Deewani___Pritam___Ranbir_Kapoor,"happy,irritate,fine,ok,joy,greate,fun,excited,smile,good,trending,new","_Subhanallah___Full_Video_Song___Yeh_Jawaani_Hai_Deewani___Pritam___Ranbir_Kapoor,_Deepika_Padukone(256k).mp3"
Aankhon_Mein_Doob_Jaane_Ko___THE_9TEEN___K3G___Deewani_Hai_Dekho(256k),"happy,irritate,fine,ok,joy,greate,fun,excited,smile,good,trending,new","Aankhon_Mein_Doob_Jaane_Ko___THE_9TEEN___K3G___Deewani_Hai_Dekho(256k).mp3"
Aaye_Haaye__Official_Video____Karan_Aujla,"happy,irritate,fine,ok,joy,greate,fun,excited,smile,good,trending,new","Aaye_Haaye__Official_Video____Karan_Aujla,_Nora_Fatehi,_Neha_Kakkar,_Jay_Trak___Bhushan_Kumar(256k).mp3"
Aayi_Nai__From__Stree_2,"happy,irritate,fine,ok,joy,greate,fun,excited,smile,good,trending,new","Aayi_Nai__From__Stree_2__(256k).mp3"
Agar_Ho_Tum_-_Lyric_Video_Mr.__Mrs._Mahi_Rajkummar,"happy,irritate,fine,ok,joy,greate,fun,excited,smile,good,trending,new","Agar_Ho_Tum_-_Lyric_Video_Mr.__Mrs._Mahi_Rajkummar,_Janhvi___Tanishk,Jubin(256k).mp3"
Akhiyaan_Gulaab__Lyrics___Shahid_Kapoor,"happy,irritate,fine,ok,joy,greate,fun,excited,smile,good,trending,new","Akhiyaan_Gulaab__Lyrics___Shahid_Kapoor,_Kriti_Sanon___Mitraz___Teri_Baaton_Mein_Aisa_Uljha_Jiya(256k).mp3"
Angaaron__The_Couple_Song__Lyrical___Pushpa_2_The_Rule,"happy,irritate,fine,ok,joy,greate,fun,excited,smile,good,trending,new","Angaaron__The_Couple_Song__Lyrical___Pushpa_2_The_Rule___Allu_Arjun__Rashmika__Sukumar__DSP,_Shreya(256k).mp3"
Apna_Bana_Le_-_Full_Audio___Bhediya___Varun_Dhawan,"happy,irritate,fine,ok,joy,greate,fun,excited,smile,good,trending,new","Apna_Bana_Le_-_Full_Audio___Bhediya___Varun_Dhawan,_Kriti_Sanon__Sachin-Jigar,Arijit_Singh,Amitabh_B(256k).mp3"
Assi_Sajna_-_Official_Lyric_Video___Jasleen_Royal(256k),"happy,irritate,fine,ok,joy,greate,fun,excited,smile,good,trending,new","Assi_Sajna_-_Official_Lyric_Video___Jasleen_Royal(256k).mp3"
